refID,pword,fName,lName,email,dob,bankInfo
R0001,refpass1,RefF1,RefL1,ref1@example.com,1974-05-25,ACC000001
R0002,refpass2,RefF2,RefL2,ref2@example.com,1991-04-04,ACC000002
R0003,refpass3,RefF3,RefL3,ref3@example.com,1972-04-23,ACC000003
R0004,refpass4,RefF4,RefL4,ref4@example.com,1980-04-16,ACC000004
R0005,refpass5,RefF5,RefL5,ref5@example.com,1981-04-19,ACC000005
R0006,refpass6,RefF6,RefL6,ref6@example.com,1974-06-19,ACC000006
R0007,refpass7,RefF7,RefL7,ref7@example.com,1994-11-28,ACC000007
R0008,refpass8,RefF8,RefL8,ref8@example.com,1975-04-08,ACC000008
R0009,refpass9,RefF9,RefL9,ref9@example.com,1995-02-01,ACC000009
R0010,refpass10,RefF10,RefL10,ref10@example.com,1970-08-28,ACC000010
R0011,refpass11,RefF11,RefL11,ref11@example.com,1972-12-06,ACC000011
R0012,refpass12,RefF12,RefL12,ref12@example.com,1973-05-02,ACC000012
R0013,refpass13,RefF13,RefL13,ref13@example.com,1984-11-13,ACC000013
R0014,refpass14,RefF14,RefL14,ref14@example.com,1988-12-22,ACC000014
R0015,refpass15,RefF15,RefL15,ref15@example.com,1976-06-20,ACC000015
R0016,refpass16,RefF16,RefL16,ref16@example.com,1973-09-16,ACC000016
R0017,refpass17,RefF17,RefL17,ref17@example.com,1980-05-02,ACC000017
R0018,refpass18,RefF18,RefL18,ref18@example.com,1989-01-04,ACC000018
R0019,refpass19,RefF19,RefL19,ref19@example.com,1980-03-17,ACC000019
R0020,refpass20,RefF20,RefL20,ref20@example.com,1991-07-01,ACC000020
R0021,refpass21,RefF21,RefL21,ref21@example.com,1992-06-14,ACC000021
R0022,refpass22,RefF22,RefL22,ref22@example.com,1983-11-16,ACC000022
R0023,refpass23,RefF23,RefL23,ref23@example.com,1980-01-26,ACC000023
R0024,refpass24,RefF24,RefL24,ref24@example.com,1985-08-15,ACC000024
R0025,refpass25,RefF25,RefL25,ref25@example.com,1971-10-28,ACC000025
R0026,refpass26,RefF26,RefL26,ref26@example.com,1971-09-27,ACC000026
R0027,refpass27,RefF27,RefL27,ref27@example.com,1995-08-08,ACC000027
R0028,refpass28,RefF28,RefL28,ref28@example.com,1970-05-27,ACC000028
R0029,refpass29,RefF29,RefL29,ref29@example.com,1985-12-21,ACC000029
R0030,refpass30,RefF30,RefL30,ref30@example.com,1973-01-19,ACC000030
R0031,refpass31,RefF31,RefL31,ref31@example.com,1974-02-10,ACC000031
R0032,refpass32,RefF32,RefL32,ref32@example.com,1975-09-16,ACC000032
R0033,refpass33,RefF33,RefL33,ref33@example.com,1980-07-07,ACC000033
R0034,refpass34,RefF34,RefL34,ref34@example.com,1974-04-12,ACC000034
R0035,refpass35,RefF35,RefL35,ref35@example.com,1979-01-28,ACC000035
R0036,refpass36,RefF36,RefL36,ref36@example.com,1980-08-05,ACC000036
R0037,refpass37,RefF37,RefL37,ref37@example.com,1977-01-10,ACC000037
R0038,refpass38,RefF38,RefL38,ref38@example.com,1973-02-16,ACC000038
R0039,refpass39,RefF39,RefL39,ref39@example.com,1985-06-27,ACC000039
R0040,refpass40,RefF40,RefL40,ref40@example.com,1985-09-05,ACC000040
R0041,refpass41,RefF41,RefL41,ref41@example.com,1984-12-09,ACC000041
R0042,refpass42,RefF42,RefL42,ref42@example.com,1981-12-07,ACC000042
R0043,refpass43,RefF43,RefL43,ref43@example.com,1989-12-23,ACC000043
R0044,refpass44,RefF44,RefL44,ref44@example.com,1978-03-12,ACC000044
R0045,refpass45,RefF45,RefL45,ref45@example.com,1976-05-21,ACC000045
R0046,refpass46,RefF46,RefL46,ref46@example.com,1973-01-28,ACC000046
R0047,refpass47,RefF47,RefL47,ref47@example.com,1981-07-25,ACC000047
R0048,refpass48,RefF48,RefL48,ref48@example.com,1993-01-18,ACC000048
R0049,refpass49,RefF49,RefL49,ref49@example.com,1985-06-04,ACC000049
R0050,refpass50,RefF50,RefL50,ref50@example.com,1990-11-22,ACC000050
