playerID,teamName,fName,lName,dob,address,phoneNum,email,pword
P0001,Team14,FName1,LName1,1998-11-20,1 Player St,555-010000,player1@example.com,pword1
P0002,Team8,FName2,LName2,1989-05-15,2 Player St,555-010001,player2@example.com,pword2
P0003,Team22,FName3,LName3,1996-01-21,3 Player St,555-010002,player3@example.com,pword3
P0004,Team19,FName4,LName4,1990-10-03,4 Player St,555-010003,player4@example.com,pword4
P0005,Team13,FName5,LName5,1988-12-12,5 Player St,555-010004,player5@example.com,pword5
P0006,Team16,FName6,LName6,1988-08-08,6 Player St,555-010005,player6@example.com,pword6
P0007,Team12,FName7,LName7,1989-08-25,7 Player St,555-010006,player7@example.com,pword7
P0008,Team8,FName8,LName8,1980-12-02,8 Player St,555-010007,player8@example.com,pword8
P0009,Team11,FName9,LName9,1989-03-17,9 Player St,555-010008,player9@example.com,pword9
P0010,Team1,FName10,LName10,1980-05-25,10 Player St,555-010009,player10@example.com,pword10
P0011,Team24,FName11,LName11,1999-03-23,11 Player St,555-010010,player11@example.com,pword11
P0012,Team23,FName12,LName12,1999-01-12,12 Player St,555-010011,player12@example.com,pword12
P0013,Team19,FName13,LName13,1981-06-19,13 Player St,555-010012,player13@example.com,pword13
P0014,Team24,FName14,LName14,1981-09-26,14 Player St,555-010013,player14@example.com,pword14
P0015,Team9,FName15,LName15,1994-09-27,15 Player St,555-010014,player15@example.com,pword15
P0016,Team8,FName16,LName16,1999-11-26,16 Player St,555-010015,player16@example.com,pword16
P0017,Team20,FName17,LName17,1987-09-09,17 Player St,555-010016,player17@example.com,pword17
P0018,Team24,FName18,LName18,1987-10-28,18 Player St,555-010017,player18@example.com,pword18
P0019,Team8,FName19,LName19,1997-05-03,19 Player St,555-010018,player19@example.com,pword19
P0020,Team10,FName20,LName20,1982-02-22,20 Player St,555-010019,player20@example.com,pword20
P0021,Team5,FName21,LName21,1991-11-27,21 Player St,555-010020,player21@example.com,pword21
P0022,Team21,FName22,LName22,1989-10-24,22 Player St,555-010021,player22@example.com,pword22
P0023,Team17,FName23,LName23,1991-07-18,23 Player St,555-010022,player23@example.com,pword23
P0024,Team24,FName24,LName24,1992-02-11,24 Player St,555-010023,player24@example.com,pword24
P0025,Team19,FName25,LName25,1987-01-16,25 Player St,555-010024,player25@example.com,pword25
